date,ticker,shares,price,value,total_value
2021-03-31,AAPL,210.3243,118.86404418945312,25000.0,50000.0
2021-03-31,MSFT,110.5044,226.23538208007812,25000.0,50000.0
2021-03-31,GOOGL,0.0,102.28064727783203,0.0,50000.0
2021-03-31,NVDA,0.0,13.314691543579102,0.0,50000.0
2021-03-31,SPY,0.0,370.1654357910156,0.0,50000.0
2021-04-01,AAPL,212.5122,119.6911849975586,25435.84,50871.68
2021-04-01,MSFT,109.3783,232.5492401123047,25435.84,50871.68
2021-04-01,GOOGL,0.0,105.6160888671875,0.0,50871.68
2021-04-01,NVDA,0.0,13.77702522277832,0.0,50871.68
2021-04-01,SPY,0.0,374.1629333496094,0.0,50871.68
2021-04-05,AAPL,212.5122,122.51316833496094,26035.54,52176.69
2021-04-05,MSFT,109.3783,238.99752807617188,26141.14,52176.69
2021-04-05,GOOGL,0.0,110.03854370117188,0.0,52176.69
2021-04-05,NVDA,0.0,13.952335357666016,0.0,52176.69
2021-04-05,SPY,0.0,379.5333251953125,0.0,52176.69
2021-04-06,AAPL,212.5122,122.8148422241211,26099.65,52113.8
2021-04-06,MSFT,109.3783,237.83645629882812,26014.15,52113.8
2021-04-06,GOOGL,0.0,109.55750274658203,0.0,52113.8
2021-04-06,NVDA,0.0,13.82664966583252,0.0,52113.8
2021-04-06,SPY,0.0,379.3091125488281,0.0,52113.8
2021-04-07,AAPL,212.5122,124.4593734741211,26449.14,52677.39
2021-04-07,MSFT,109.3783,239.79393005371094,26228.25,52677.39
2021-04-07,GOOGL,0.0,111.03380584716797,0.0,52677.39
2021-04-07,NVDA,0.0,14.107941627502441,0.0,52677.39
2021-04-07,SPY,0.0,379.7481384277344,0.0,52677.39
2021-04-08,AAPL,212.5122,126.85320281982422,26957.85,53537.7
2021-04-08,MSFT,109.3783,243.00845336914062,26579.85,53537.7
2021-04-08,GOOGL,0.0,111.59913635253906,0.0,53537.7
2021-04-08,NVDA,0.0,14.281006813049316,0.0,53537.7
2021-04-08,SPY,0.0,381.5506896972656,0.0,53537.7
2021-04-09,AAPL,212.5122,129.4221649169922,27503.79,54356.53
2021-04-09,MSFT,109.3783,245.5033416748047,26852.74,54356.53
2021-04-09,GOOGL,0.0,112.60284423828125,0.0,54356.53
2021-04-09,NVDA,0.0,14.363799095153809,0.0,54356.53
2021-04-09,SPY,0.0,384.3245849609375,0.0,54356.53
2021-04-12,AAPL,212.5122,127.70948791503906,27139.83,53998.86
2021-04-12,MSFT,109.3783,245.56092834472656,26859.03,53998.86
2021-04-12,GOOGL,0.0,111.31102752685547,0.0,53998.86
2021-04-12,NVDA,0.0,15.170763969421387,0.0,53998.86
2021-04-12,SPY,0.0,384.4648132324219,0.0,53998.86
2021-04-13,AAPL,212.5122,130.813720703125,27799.51,54929.32
2021-04-13,MSFT,109.3783,248.03652954101562,27129.81,54929.32
2021-04-13,GOOGL,0.0,111.7974853515625,0.0,54929.32
2021-04-13,NVDA,0.0,15.640082359313965,0.0,54929.32
2021-04-13,SPY,0.0,385.6041564941406,0.0,54929.32
2021-04-14,AAPL,212.5122,128.47825622558594,27303.2,54128.65
2021-04-14,MSFT,109.3783,245.2538604736328,26825.45,54128.65
2021-04-14,GOOGL,0.0,111.17662048339844,0.0,54128.65
2021-04-14,NVDA,0.0,15.238593101501465,0.0,54128.65
2021-04-14,SPY,0.0,384.287353515625,0.0,54128.65
2021-04-15,AAPL,212.5122,130.88182067871094,27813.99,55049.81
2021-04-15,MSFT,109.3783,249.00575256347656,27235.82,55049.81
2021-04-15,GOOGL,0.0,113.32585906982422,0.0,55049.81
2021-04-15,NVDA,0.0,16.0966796875,0.0,55049.81
2021-04-15,SPY,0.0,388.4154357910156,0.0,55049.81
2021-04-16,AAPL,212.5122,130.55096435546875,27743.67,55109.63
2021-04-16,MSFT,109.3783,250.19554138183594,27365.96,55109.63
2021-04-16,GOOGL,0.0,113.20188903808594,0.0,55109.63
2021-04-16,NVDA,0.0,15.872492790222168,0.0,55109.63
2021-04-16,SPY,0.0,389.7137451171875,0.0,55109.63
2021-04-19,AAPL,212.5122,131.21266174316406,27884.29,55040.34
