date,ticker,weight,expected_return,annual_volatility,sharpe_ratio,objective
2021-03-31,AAPL,0.4999999999999999,0.35562506070706384,0.3166350729161998,0.9968101695120704,mean_variance
2021-03-31,MSFT,0.5,0.35562506070706384,0.3166350729161998,0.9968101695120704,mean_variance
2021-03-31,GOOGL,0.0,0.35562506070706384,0.3166350729161998,0.9968101695120704,mean_variance
2021-03-31,NVDA,0.0,0.35562506070706384,0.3166350729161998,0.9968101695120704,mean_variance
2021-03-31,SPY,0.0,0.35562506070706384,0.3166350729161998,0.9968101695120704,mean_variance
2021-04-01,AAPL,0.5,0.3608980957435092,0.31655709176795166,1.013713178723349,mean_variance
2021-04-01,MSFT,0.4999999999999994,0.3608980957435092,0.31655709176795166,1.013713178723349,mean_variance
2021-04-01,GOOGL,4.0530157931076277e-16,0.3608980957435092,0.31655709176795166,1.013713178723349,mean_variance
2021-04-01,NVDA,7.28583859910259e-17,0.3608980957435092,0.31655709176795166,1.013713178723349,mean_variance
2021-04-01,SPY,9.113458296303622e-17,0.3608980957435092,0.31655709176795166,1.013713178723349,mean_variance
2021-07-01,AAPL,0.49999999999999967,0.37441269346798356,0.3509497788345235,0.9528790546001816,mean_variance
2021-07-01,MSFT,0.22532161413570861,0.37441269346798356,0.3509497788345235,0.9528790546001816,mean_variance
2021-07-01,GOOGL,3.5358176790029055e-16,0.37441269346798356,0.3509497788345235,0.9528790546001816,mean_variance
2021-07-01,NVDA,0.27467838586429133,0.37441269346798356,0.3509497788345235,0.9528790546001816,mean_variance
2021-07-01,SPY,1.4229617452076376e-16,0.37441269346798356,0.3509497788345235,0.9528790546001816,mean_variance
2021-10-01,AAPL,0.28150235850645317,0.3263673439167717,0.33563866161146844,0.8532013044679202,mean_variance
2021-10-01,MSFT,0.5,0.3263673439167717,0.33563866161146844,0.8532013044679202,mean_variance
2021-10-01,GOOGL,0.0,0.3263673439167717,0.33563866161146844,0.8532013044679202,mean_variance
2021-10-01,NVDA,0.21849764149354634,0.3263673439167717,0.33563866161146844,0.8532013044679202,mean_variance
2021-10-01,SPY,1.3302597643949984e-15,0.3263673439167717,0.33563866161146844,0.8532013044679202,mean_variance
2021-10-01,ISRG,3.0898191461517353e-16,0.3263673439167717,0.33563866161146844,0.8532013044679202,mean_variance
2022-01-03,AAPL,0.0,0.7099834301383161,0.4642270175147735,1.4432236919881436,mean_variance
2022-01-03,MSFT,3.503496938552696e-16,0.7099834301383161,0.4642270175147735,1.4432236919881436,mean_variance
2022-01-03,GOOGL,4.120798040134435e-16,0.7099834301383161,0.4642270175147735,1.4432236919881436,mean_variance
