date,ticker,weight,expected_return,annual_volatility,sharpe_ratio,objective
2022-03-31,AAPL,0.2996659901142451,0.5138985437324809,0.48358682501556083,0.9799657873583132,mean_variance
2022-03-31,MSFT,0.0,0.5138985437324809,0.48358682501556083,0.9799657873583132,mean_variance
2022-03-31,GOOGL,0.0,0.5138985437324809,0.48358682501556083,0.9799657873583132,mean_variance
2022-03-31,NVDA,0.7003340098857594,0.5138985437324809,0.48358682501556083,0.9799657873583132,mean_variance
2022-03-31,SPY,1.159004283581809e-15,0.5138985437324809,0.48358682501556083,0.9799657873583132,mean_variance
2022-03-31,RKLB,0.0,0.5138985437324809,0.48358682501556083,0.9799657873583132,mean_variance
2022-03-31,BOTZ,0.0,0.5138985437324809,0.48358682501556083,0.9799657873583132,mean_variance
2022-03-31,ITA,0.0,0.5138985437324809,0.48358682501556083,0.9799657873583132,mean_variance
2022-04-01,AAPL,0.4701538208299798,0.4594064927441187,0.4191520007691771,1.0006071591558066,mean_variance
2022-04-01,MSFT,3.469446951953614e-16,0.4594064927441187,0.4191520007691771,1.0006071591558066,mean_variance
2022-04-01,GOOGL,0.0,0.4594064927441187,0.4191520007691771,1.0006071591558066,mean_variance
2022-04-01,NVDA,0.5298461791700215,0.4594064927441187,0.4191520007691771,1.0006071591558066,mean_variance
2022-04-01,SPY,0.0,0.4594064927441187,0.4191520007691771,1.0006071591558066,mean_variance
2022-04-01,RKLB,5.489645871811707e-16,0.4594064927441187,0.4191520007691771,1.0006071591558066,mean_variance
2022-04-01,BOTZ,0.0,0.4594064927441187,0.4191520007691771,1.0006071591558066,mean_variance
2022-04-01,ITA,0.0,0.4594064927441187,0.4191520007691771,1.0006071591558066,mean_variance
2022-07-01,AAPL,1.915134717478395e-15,-0.11923718113193718,0.23434253402574523,-0.6795060990270044,mean_variance
2022-07-01,MSFT,3.195888678988696e-15,-0.11923718113193718,0.23434253402574523,-0.6795060990270044,mean_variance
2022-07-01,GOOGL,1.3361982335188527e-15,-0.11923718113193718,0.23434253402574523,-0.6795060990270044,mean_variance
2022-07-01,NVDA,1.321966507400794e-15,-0.11923718113193718,0.23434253402574523,-0.6795060990270044,mean_variance
2022-07-01,SPY,0.19999999999999776,-0.11923718113193718,0.23434253402574523,-0.6795060990270044,mean_variance
2022-07-01,RKLB,2.4143494110541343e-15,-0.11923718113193718,0.23434253402574523,-0.6795060990270044,mean_variance
2022-07-01,BOTZ,1.0069036694336566e-15,-0.11923718113193718,0.23434253402574523,-0.6795060990270044,mean_variance
2022-07-01,ITA,0.7999999999999909,-0.11923718113193718,0.23434253402574523,-0.6795060990270044,mean_variance
2022-10-03,AAPL,0.0,-0.35029460057982215,0.24390046440187582,-1.6002208176886947,mean_variance
2022-10-03,MSFT,1.1242952019619024e-15,-0.35029460057982215,0.24390046440187582,-1.6002208176886947,mean_variance
2022-10-03,GOOGL,4.648890222070445e-16,-0.35029460057982215,0.24390046440187582,-1.6002208176886947,mean_variance
2022-10-03,NVDA,4.787668100148589e-16,-0.35029460057982215,0.24390046440187582,-1.6002208176886947,mean_variance
2022-10-03,SPY,0.19999999999999757,-0.35029460057982215,0.24390046440187582,-1.6002208176886947,mean_variance
2022-10-03,RKLB,8.465281869219421e-16,-0.35029460057982215,0.24390046440187582,-1.6002208176886947,mean_variance
2022-10-03,BOTZ,7.146892027477046e-16,-0.35029460057982215,0.24390046440187582,-1.6002208176886947,mean_variance
2022-10-03,ITA,0.799999999999999,-0.35029460057982215,0.24390046440187582,-1.6002208176886947,mean_variance
