date,ticker,shares,price,value,total_value
2021-03-31,AAPL,210.3243,118.86405944824219,25000.0,50000.0
2021-03-31,MSFT,0.0,226.23533630371094,0.0,50000.0
2021-03-31,GOOGL,0.0,102.28064727783203,0.0,50000.0
2021-03-31,NVDA,0.0,13.314693450927734,0.0,50000.0
2021-03-31,SPY,0.0,370.1654357910156,0.0,50000.0
2021-03-31,TSM,229.6356,108.86812591552734,25000.0,50000.0
2021-03-31,ISRG,0.0,246.31333923339844,0.0,50000.0
2021-04-01,AAPL,215.3545,119.69115447998047,25776.02,51552.05
2021-04-01,MSFT,0.0,232.5492401123047,0.0,51552.05
2021-04-01,GOOGL,0.0,105.61608123779297,0.0,51552.05
2021-04-01,NVDA,0.0,13.777026176452637,0.0,51552.05
2021-04-01,SPY,0.0,374.16290283203125,0.0,51552.05
2021-04-01,TSM,224.3943,114.86932373046875,25776.02,51552.05
2021-04-01,ISRG,0.0,249.1999969482422,0.0,51552.05
2021-04-05,AAPL,215.3545,122.51315307617188,26383.75,52097.81
2021-04-05,MSFT,0.0,238.99754333496094,0.0,52097.81
2021-04-05,GOOGL,0.0,110.03852081298828,0.0,52097.81
2021-04-05,NVDA,0.0,13.952335357666016,0.0,52097.81
2021-04-05,SPY,0.0,379.5332946777344,0.0,52097.81
2021-04-05,TSM,224.3943,114.59319305419922,25714.06,52097.81
2021-04-05,ISRG,0.0,255.30999755859375,0.0,52097.81
2021-04-06,AAPL,215.3545,122.81482696533203,26448.72,51737.31
2021-04-06,MSFT,0.0,237.83645629882812,0.0,51737.31
2021-04-06,GOOGL,0.0,109.55751037597656,0.0,51737.31
2021-04-06,NVDA,0.0,13.82664966583252,0.0,51737.31
2021-04-06,SPY,0.0,379.3092041015625,0.0,51737.31
2021-04-06,TSM,224.3943,112.6971206665039,25288.59,51737.31
2021-04-06,ISRG,0.0,255.61666870117188,0.0,51737.31
2021-04-07,AAPL,215.3545,124.45935821533203,26802.88,51564.79
2021-04-07,MSFT,0.0,239.7939453125,0.0,51564.79
2021-04-07,GOOGL,0.0,111.03380584716797,0.0,51564.79
2021-04-07,NVDA,0.0,14.107941627502441,0.0,51564.79
2021-04-07,SPY,0.0,379.74810791015625,0.0,51564.79
2021-04-07,TSM,224.3943,110.35001373291016,24761.92,51564.79
2021-04-07,ISRG,0.0,253.67333984375,0.0,51564.79
2021-04-08,AAPL,215.3545,126.85321807861328,27318.41,52811.47
2021-04-08,MSFT,0.0,243.0084686279297,0.0,52811.47
2021-04-08,GOOGL,0.0,111.59912872314453,0.0,52811.47
2021-04-08,NVDA,0.0,14.281004905700684,0.0,52811.47
2021-04-08,SPY,0.0,381.5506896972656,0.0,52811.47
2021-04-08,TSM,224.3943,113.60832977294922,25493.06,52811.47
2021-04-08,ISRG,0.0,256.7833251953125,0.0,52811.47
2021-04-09,AAPL,215.3545,129.42218017578125,27871.64,53234.59
2021-04-09,MSFT,0.0,245.50331115722656,0.0,53234.59
2021-04-09,GOOGL,0.0,112.60283660888672,0.0,53234.59
2021-04-09,NVDA,0.0,14.363795280456543,0.0,53234.59
2021-04-09,SPY,0.0,384.32464599609375,0.0,53234.59
2021-04-09,TSM,224.3943,113.0284652709961,25362.95,53234.59
2021-04-09,ISRG,0.0,261.49334716796875,0.0,53234.59
2021-04-12,AAPL,215.3545,127.70950317382812,27502.81,52473.33
2021-04-12,MSFT,0.0,245.5608673095703,0.0,52473.33
2021-04-12,GOOGL,0.0,111.31101989746094,0.0,52473.33
2021-04-12,NVDA,0.0,15.17076301574707,0.0,52473.33
2021-04-12,SPY,0.0,384.46478271484375,0.0,52473.33
2021-04-12,TSM,224.3943,111.27965545654297,24970.52,52473.33
2021-04-12,ISRG,0.0,259.7533264160156,0.0,52473.33
2021-04-13,AAPL,215.3545,130.813720703125,28171.32,53218.25
2021-04-13,MSFT,0.0,248.03660583496094,0.0,53218.25
2021-04-13,GOOGL,0.0,111.79749298095703,0.0,53218.25
2021-04-13,NVDA,0.0,15.640081405639648,0.0,53218.25
2021-04-13,SPY,0.0,385.60418701171875,0.0,53218.25
2021-04-13,TSM,224.3943,111.62019348144531,25046.94,53218.25
2021-04-13,ISRG,0.0,264.8233337402344,0.0,53218.25
2021-04-14,AAPL,215.3545,128.47830200195312,27668.37,52626.5
2021-04-14,MSFT,0.0,245.25384521484375,0.0,52626.5
2021-04-14,GOOGL,0.0,111.1766357421875,0.0,52626.5
2021-04-14,NVDA,0.0,15.238594055175781,0.0,52626.5
2021-04-14,SPY,0.0,384.2872314453125,0.0,52626.5
2021-04-14,TSM,224.3943,111.22441101074219,24958.13,52626.5
2021-04-14,ISRG,0.0,261.9433288574219,0.0,52626.5
2021-04-15,AAPL,215.3545,130.88180541992188,28185.98,52629.83
2021-04-15,MSFT,0.0,249.00575256347656,0.0,52629.83
2021-04-15,GOOGL,0.0,113.32585906982422,0.0,52629.83
2021-04-15,NVDA,0.0,16.0966796875,0.0,52629.83
2021-04-15,SPY,0.0,388.4154968261719,0.0,52629.83
2021-04-15,TSM,224.3943,108.93257141113281,24443.85,52629.83
2021-04-15,ISRG,0.0,268.239990234375,0.0,52629.83
2021-04-16,AAPL,215.3545,130.55096435546875,28114.73,52659.78
2021-04-16,MSFT,0.0,250.19552612304688,0.0,52659.78
2021-04-16,GOOGL,0.0,113.20189666748047,0.0,52659.78
2021-04-16,NVDA,0.0,15.872493743896484,0.0,52659.78
2021-04-16,SPY,0.0,389.7137145996094,0.0,52659.78
2021-04-16,TSM,224.3943,109.383544921875,24545.05,52659.78
2021-04-16,ISRG,0.0,270.8566589355469,0.0,52659.78
2021-04-19,AAPL,215.3545,131.21266174316406,28257.23,52091.79
2021-04-19,MSFT,0.0,248.27642822265625,0.0,52091.79
2021-04-19,GOOGL,0.0,113.54951477050781,0.0,52091.79
2021-04-19,NVDA,0.0,15.323129653930664,0.0,52091.79
2021-04-19,SPY,0.0,387.7990417480469,0.0,52091.79
2021-04-19,TSM,224.3943,106.21730041503906,23834.56,52091.79
2021-04-19,ISRG,0.0,270.39666748046875,0.0,52091.79
2021-04-20,AAPL,215.3545,129.5292205810547,27894.69,51636.31
2021-04-20,MSFT,0.0,247.8158721923828,0.0,51636.31
2021-04-20,GOOGL,0.0,113.01643371582031,0.0,51636.31
2021-04-20,NVDA,0.0,15.133108139038086,0.0,51636.31
2021-04-20,SPY,0.0,384.9598083496094,0.0,51636.31
2021-04-20,TSM,224.3943,105.80310821533203,23741.62,51636.31
2021-04-20,ISRG,0.0,270.3699951171875,0.0,51636.31
2021-04-21,AAPL,215.3545,129.90872192382812,27976.42,52224.06
2021-04-21,MSFT,0.0,250.04202270507812,0.0,52224.06
2021-04-21,GOOGL,0.0,112.98368835449219,0.0,52224.06
2021-04-21,NVDA,0.0,15.321882247924805,0.0,52224.06
